id,first_name,last_name,password,checking,savings,active,overdraft_count
10001,William,Hartnell,4fg56,120.0,0.0,True,0
10002,Patrick,Troughton,serf,0.0,200.0,True,1
10003,Jon ,Pertwee,233!,-65.0,250.0,False,2
10004,Tom ,Baker,ee,0.0,0.0,True,0
10005,Peter ,Davison,werf345,58.0,0.0,False,4
10006,Suresh ,Sigera,wergt,63.0,0.0,False,3
10007,James ,Taylor,#@FG,-10.0,0.0,False,2
10008,Melvin ,Gordon,GD4dS,-35.0,2567.0,True,1
10009,Stacey ,Abrams,!fiuenrg,0.0,3452345.0,True,1
100010,Jake ,Paul,wegtr,10000.0,-10.0,True,0
100011,rtg,drg,2435365,5000.0,0.0,True,0
100012,Devlin,Booth,123456,0.0,0.0,True,0
20002,Hamas,Alsharari,H6h5m,100.0,50.0,True,0
101,john,doe,1234,110.0,60.0,True,0
